Unnamed: 0,Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,Group,Country,Second Country,Gender,Profile,Stage Name.1,Full Name.1,Korean Name.1,Korean Stage Name.1,Date of Birth.1,Group.1,Country.1,Second Country.1,Gender.1,Birth Year
,Fei,Wang FeiFei,왕페이페이,페이,1987-04-27,miss A,China,,F,,,,,,,,,,,
,Jia,Meng Jia,멍지아,지아,1989-02-03,miss A,China,,F,,,,,,,,,,,
Profile,Momo,Hirai Momo,히라이 모모,모모,1996-11-09,Twice,Japan,,F,,,,,,,,,,,
Profile,Sana,Minatozaki Sana,미나토자키 사나,사나,1996-12-29,Twice,Japan,,F,,,,,,,,,,,
Profile,Mina,Myoui Mina,묘이 미나,미나,1997-03-24,Twice,Japan,,F,,,,,,,,,,,
Profile,Tzuyu,Chou Tzuyu,저우쯔위,쯔위,1999-06-14,Twice,Taiwan,,F,,,,,,,,,,,
Profile,Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,손,1996-11-18,CLC,Thailand,,F,,,,,,,,,,,
,Victoria,Song Qian,송치엔,빅토리아,1987-02-02,f(x),China,,F,,,,,,,,,,,
,Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,1992-09-18,f(x),USA,Taiwan,F,,,,,,,,,,,
,G.NA,Gina Jane Choi,최지나,지나,1987-09-13,,Canada,South Korea,F,,,,,,,,,,,
,Cao Lu,Cao Lu,차오루,차오루,1987-08-30,Fiestar,China,,F,,,,,,,,,,,
Profile,Sally,Liu Xiening,류셰닝,샐리,1996-10-23,Gugudan,China,,F,,,,,,,,,,,
Profile,Elkie,Chong Ting Yan,쫑딩얀,엘키,1998-11-02,,Hong Kong,,F,,,,,,,,,,,
Profile,Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,1997-03-27,BLACKPINK,Thailand,,F,,,,,,,,,,,
,Tina,Christine Joy Park,크리스틴 조이 박,티나,1994-09-01,Blady,USA,South Korea,F,,,,,,,,,,,
Profile,Cheng Xiao,Cheng Xiao,청샤오,성소,1998-07-15,,China,,F,,,,,,,,,,,
Profile,Xuanyi,Wu Xuanyi,우쉬안이,선의,1995-01-26,,China,,F,,,,,,,,,,,
Profile,Meiqi,Meng Meiqi,멍메이치,미기,1998-10-15,,China,,F,,,,,,,,,,,
,Han Geng,Han Geng,한경,한경,1984-02-09,,China,,M,,,,,,,,,,,
,Zhou Mi,Zhou Mi,조미,조미,1986-04-19,Super Junior-M,China,,M,,,,,,,,,,,
,Henry,Henry Lau,헨리 라우,헨리,1989-10-11,Super Junior-M,Canada,"Hong Kong, Taiwan",M,,,,,,,,,,,
,Lay,Zhang Yixing,장이씽,레이,1991-10-07,EXO,China,,M,,,,,,,,,,,
,Luhan,Lu Han,루한,루한,1990-04-20,,China,,M,,,,,,,,,,,
,Kris,Wu Yifan,오역범,크리스,1990-11-06,,Canada,China,M,,,,,,,,,,,
,Tao,Hwang Zitao,황자도,타오,1993-05-02,,China,,M,,,,,,,,,,,
,Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,1988-06-24,2PM,Thailand,USA,M,,,,,,,,,,,
Profile,Vernon,Choi Hansol,최한솔,버논,1998-02-18,Seventeen,USA,South Korea,M,,,,,,,,,,,
Profile,Joshua,Hong Jisoo,홍지수,조슈아,1995-12-30,Seventeen,USA,South Korea,M,,,,,,,,,,,
Profile,Jun,Weng Junhui,원쥔훼이,준,1996-06-10,Seventeen,China,,M,,,,,,,,,,,
Profile,The8,Xu Minghao,쉬밍하오,디에잇,1997-11-07,Seventeen,China,,M,,,,,,,,,,,
,Casper,Chu Xiaoxiang,저효상,캐스퍼,1991-03-20,CROSS GENE,China,,M,,,,,,,,,,,
,Takuya,Terada Takuya,테라다 타쿠야,타쿠야,1992-03-18,CROSS GENE,Japan,,M,,,,,,,,,,,
Profile,Yan An,Yan An,옌안,옌안,1996-10-25,PENTAGON,China,,M,,,,,,,,,,,
Profile,Yuto,Adachi Yuto,아다치 유토,유토,1998-01-23,PENTAGON,Japan,,M,,,,,,,,,,,
Profile,Handong,Han Dong,한동,한동,1996-03-26,Dreamcatcher,China,,F,,,,,,,,,,,
Profile,Kyulkyung,Zhou Jieqiong,저우제충,결경,1998-12-16,Pristin,China,,F,,,,,,,,,,,
Profile,Sungyeon,Bae Sungyeon,배성연,성연,1999-05-25,Pristin,USA,South Korea,F,,,,,,,,,,,
Profile,Kyla,Kyla Massie,카일라 매시,카일라,2001-12-26,Pristin,USA,South Korea,F,,,,,,,,,,,
,Ten,Chittaphon Leechaiyapornkul,칫따폰 리차이야뽄꾼,텐,1996-02-27,NCT,Thailand,,M,,,,,,,,,,,
,Mark,Mark Lee,마크 리,마크,1999-08-02,NCT,Canada,,M,,,,,,,,,,,
,Johnny,John Seo,존 서,쟈니,1995-02-09,NCT,USA,,M,,,,,,,,,,,
,Yuta,Nakamoto Yuta,나카모토 유타,유타,1995-10-26,NCT,Japan,,M,,,,,,,,,,,
,Winwin,Dong Sicheng,뚱쓰청,윈윈,1997-10-28,NCT,China,,M,,,,,,,,,,,
,Renjun,Hwang Renjun,황런쥔,런쥔,2000-03-23,NCT,China,,M,,,,,,,,,,,
,Chenle,Zhong Chenle,중천러,천러,2001-11-22,NCT,China,,M,,,,,,,,,,,
