Profile,Name,Alt,Korean Name,Debut,Company,Members,Or. Members,Type,Fanclub,Active,Debut Year
Profile,2NE1,,투애니원,2009-05-06,YG,4,4,Girl,Blackjack,No,2006
Profile,T-ara,,티아라,2009-07-29,MBK,4,6,Girl,QUEEN'S,Hiatus,2029
Profile,4Minute,,포미닛,2009-06-15,Cube,5,5,Girl,4nia,No,2015
Profile,After School,,애프터스쿨,2009-01-15,Pledis,6,5,Girl,Playgirlz,No,2015
Profile,f(x),,에프엑스,2009-09-05,SM,4,5,Girl,MeU,No,2005
Profile,Rainbow,,레인보우,2009-11-12,DSP,7,7,Girl,,No,2012
Profile,SECRET,,시크릿,2009-10-13,TS,3,4,Girl,Secret Time,No,2013
,Highlight,Beast,하이라이트,2009-10-14,Around Us,4,6,Boy,B2uty,Yes,2014
,MBLAQ,,엠블랙,2009-10-14,J. Tune,3,5,Boy,A+,Yes,2014
Profile,SISTAR,,씨스타,2010-03-06,Starship,4,4,Girl,STAR1,No,2006
Profile,Girl's Day,GsD,걸스데이,2010-07-09,DreamT,4,5,Girl,Dai5y,Hiatus,2009
P...,miss A,,미쓰에이,2010-07-01,JYP,3,4,Girl,Say A,No,2001
Profile,9Muses,Nine Muses,나인뮤지스,2010-08-12,Star Empire,4,9,Girl,MINE,No,2012
,Infinite,,인피니트,2010-06-09,Woollim,6,7,Boy,Inspirit,Yes,2009
Profile,B1A4,,비원에이포,2010-04-19,WM,5,5,Boy,BANA,Yes,2019
,ZE:A,,제국의 아이들,2010-01-07,Star Empire,9,9,Boy,ZE:A Style,Hiatus,2007
,Teen Top,,틴탑,2010-07-09,TOP Media,5,6,Boy,Angel,Yes,2009
,CNBLUE,,씨엔블루,2010-01-14,FNC,4,4,Boy,Boice,Yes,2014
,Homme,,옴므,2010-06-28,Big Hit,2,2,Boy,,No,2028
,Dalmatian,DMTN,달마시안,2010-09-01,Monkey Funch,7,7,Boy,Dalmate,No,2001
,JYJ,,제이와이제이,2010-09-08,C-JeS,3,3,Boy,Cassiopeia,Yes,2008
Profile,Apink,,에이핑크,2011-04-19,Plan A,5,7,Girl,Pink Panda,Yes,2019
Profile,Dal Shabet,,달샤벳,2011-01-03,Happy Face,4,6,Girl,Darling,Hiatus,2003
