"Date","Open","High","Low","Close","Volume","companyName"
"05/14/25",68300,69400,67700,69100,260044,"JYP"
"05/13/25",67200,68400,67100,67900,236892,"JYP"
"05/12/25",68300,68500,66500,67300,377221,"JYP"
"05/09/25",70000,70300,68700,69500,434010,"JYP"
"05/08/25",69700,70400,68100,69900,362214,"JYP"
"05/07/25",70900,71100,68700,69200,466062,"JYP"
"05/02/25",70600,71200,69400,70800,554420,"JYP"
"04/30/25",70000,70000,68700,69200,618911,"JYP"
"04/29/25",66400,69600,66000,68700,1114720,"JYP"
"04/28/25",63700,65500,62600,65300,460994,"JYP"
"04/25/25",62700,64200,62200,63400,350634,"JYP"
"04/24/25",63000,63500,62300,62700,180147,"JYP"
"04/23/25",63300,63500,62500,63200,174429,"JYP"
"04/22/25",62200,63500,61800,62800,158686,"JYP"
"04/21/25",64100,64200,62200,62500,257422,"JYP"
"04/18/25",61900,63600,61600,63300,400706,"JYP"
"04/17/25",60200,61500,59500,61500,192961,"JYP"
"04/16/25",61500,63200,59400,59800,404989,"JYP"
"04/15/25",59400,62100,58900,61700,393325,"JYP"
"04/14/25",59700,59800,58000,59500,321791,"JYP"
"04/11/25",58900,59800,58200,59600,254336,"JYP"
"04/10/25",59600,59900,57400,59800,424989,"JYP"
"04/09/25",59400,59900,56600,57400,455133,"JYP"
"04/08/25",61200,61400,59700,59900,232730,"JYP"
"04/07/25",62000,62500,59600,59700,439173,"JYP"
"04/04/25",61000,63900,61000,63300,681069,"JYP"
"04/03/25",59800,62100,59500,61200,318552,"JYP"
"04/02/25",61600,61700,60200,61000,186589,"JYP"
"04/01/25",59500,61700,58800,61100,313000,"JYP"
"03/31/25",60300,60800,58800,59200,576692,"JYP"
"03/28/25",63400,63400,61100,61300,336904,"JYP"
"03/27/25",62600,63800,62200,63100,363191,"JYP"
"03/26/25",63800,63900,62100,63000,264606,"JYP"
"03/25/25",62100,63900,61800,62800,428461,"JYP"
"03/24/25",61700,63000,61600,62000,369755,"JYP"
"03/21/25",60400,62100,60200,61300,720871,"JYP"
"03/20/25",63300,63400,60600,61000,1160646,"JYP"
"03/19/25",63000,63800,62250,62800,1052134,"JYP"
"03/18/25",70000,70000,62900,63000,2847057,"JYP"
"03/17/25",69800,70600,68500,69700,449196,"JYP"
"03/14/25",70200,70800,68200,69800,652284,"JYP"
"03/13/25",70700,71300,69700,70700,425193,"JYP"
"03/12/25",70600,72000,70000,70100,529998,"JYP"
"03/11/25",71600,73400,70100,70300,969056,"JYP"
"03/10/25",80100,80200,73000,73100,1797632,"JYP"
"03/07/25",79700,81900,79100,80600,478082,"JYP"
"03/06/25",81300,81300,78000,79900,576075,"JYP"
"03/05/25",83300,83800,79300,80900,570080,"JYP"
"03/04/25",83400,84000,81200,82900,445559,"JYP"
"02/28/25",84000,86900,82800,84300,827890,"JYP"
"02/27/25",84200,85400,83200,85100,549941,"JYP"
"02/26/25",83600,85200,83200,84100,411760,"JYP"
"02/25/25",81800,84800,81500,84100,807797,"JYP"
"02/24/25",81200,83000,80500,81400,522796,"JYP"
"02/21/25",82200,84700,79900,82300,921254,"JYP"
"02/20/25",86900,87400,81300,82500,2161017,"JYP"
"02/19/25",79500,81300,78300,81100,572359,"JYP"
"02/18/25",79300,80500,77800,79400,579731,"JYP"
"02/17/25",80900,80900,78600,79000,572835,"JYP"
"02/14/25",83400,84300,80600,81000,602303,"JYP"
"02/13/25",84200,84700,82000,83400,561862,"JYP"
"02/12/25",83900,84200,82600,83700,503992,"JYP"
"02/11/25",80200,83800,79700,83600,1326718,"JYP"
"02/10/25",80000,82400,78700,78800,1392162,"JYP"
"02/07/25",77700,78900,77000,77700,435046,"JYP"
"02/06/25",79600,80300,77000,77400,674299,"JYP"
"02/05/25",79600,79900,77700,79300,602689,"JYP"
"02/04/25",75500,79100,74500,79100,1059207,"JYP"
"02/03/25",74200,75900,73700,75000,419762,"JYP"
"01/31/25",75700,76400,74600,75000,399828,"JYP"
"01/24/25",73800,76000,72900,75000,423894,"JYP"
"01/23/25",74700,75900,73300,73500,442861,"JYP"
"01/22/25",74400,74600,72700,74300,501405,"JYP"
"01/21/25",75100,76100,73800,74300,411808,"JYP"
"01/20/25",77300,78000,74600,74700,476195,"JYP"
"01/17/25",75600,78300,75100,76400,775694,"JYP"
"01/16/25",77000,77000,73700,75500,689128,"JYP"
"01/15/25",76100,76300,75000,76000,487142,"JYP"
"01/14/25",70700,75800,70700,75800,1158714,"JYP"
"01/13/25",71600,72600,70500,70800,369040,"JYP"
"01/10/25",70100,72300,68800,71600,562177,"JYP"
"01/09/25",71900,72300,69900,69900,457769,"JYP"
"01/08/25",72700,72900,71100,71400,371047,"JYP"
"01/07/25",68500,73800,68100,72500,1329358,"JYP"
"01/06/25",67800,68300,65900,67200,378483,"JYP"
"01/03/25",67700,69200,67700,67800,383392,"JYP"
"01/02/25",69600,71000,66800,67600,498428,"JYP"
"12/30/24",68100,70600,67400,69900,246990,"JYP"
"12/27/24",70100,70300,67500,68600,327433,"JYP"
"12/26/24",68900,71800,68900,70400,521878,"JYP"
"12/24/24",72000,72000,67900,68300,578963,"JYP"
"12/23/24",71100,71600,69200,71000,360254,"JYP"
"12/20/24",72800,73000,69900,70000,391834,"JYP"
"12/19/24",69400,73500,69100,72300,630530,"JYP"
"12/18/24",69800,71400,69200,71100,483077,"JYP"
"12/17/24",73600,73600,69200,69200,869004,"JYP"
"12/16/24",74600,74900,72200,73000,576631,"JYP"
"12/13/24",72300,75100,71600,74300,810472,"JYP"
"12/12/24",71900,72600,70300,72300,684322,"JYP"
"12/11/24",71400,73000,69900,71200,622023,"JYP"
"12/10/24",68600,72400,68200,71000,1148865,"JYP"
"12/09/24",69000,69600,64100,67100,2134037,"JYP"
"12/06/24",72700,74700,69800,72400,1182948,"JYP"
"12/05/24",75000,75800,71500,72500,1049077,"JYP"
"12/04/24",73900,76300,73700,73900,1256550,"JYP"
"12/03/24",78200,78800,74000,75300,1546526,"JYP"
"12/02/24",77000,81000,76000,77100,2432737,"JYP"
"11/29/24",73800,77000,72500,76400,1576173,"JYP"
"11/28/24",75000,76200,71200,73800,1896010,"JYP"
"11/27/24",70200,73500,70000,73500,1414408,"JYP"
"11/26/24",67800,70000,67200,69800,1122989,"JYP"
"11/25/24",67600,69000,66900,67500,1209776,"JYP"
