Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,Post.1,Date.1,Artist.1,Song Name.1,Korean Name.1,Director.1,Video.1,Type.1,Release.1,Year
,2014-01-02,Girl's Day,Something,썸씽,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-07-13,Girl's Day,Darling,달링,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-10-14,Girl's Day,I Miss You,보고싶어,Lim Sungwan,Youtube,Girl,Minor,,,,,,,,,,2014
Post,2014-02-11,BTS,Boy In Luv,상남자,Lumpens,Youtube,Boy,Major,,,,,,,,,,2014
,2014-04-06,BTS,Just One Day,하루만,Lumpens,Youtube,Boy,Major,,,,,,,,,,2014
Post,2014-08-19,BTS,Danger,댄저,Lumpens,Youtube,Boy,Major,,,,,,,,,,2014
Post,2014-10-21,BTS,War of Hormone,호르몬 전쟁,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-01-15,AOA,Miniskirt,짧은 치마,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-06-18,AOA,Short Hair,단발머리,,Youtube,Girl,Major,,,,,,,,,,2014
Post,2014-11-10,AOA,Like a Cat,사뿐사뿐,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-01-12,Apink,Goodmorning Baby,굿모닝베이비,,Youtube,Girl,Major,,,,,,,,,,2014
Post,2014-03-30,Apink,Mr. Chu,미스터 츄,Digipedi,Youtube,Girl,Major,,,,,,,,,,2014
,2014-06-15,Apink,Crystal,크리스탈,,Youtube,Girl,Minor,,,,,,,,,,2014
,2014-11-23,Apink,LUV,러브,ZANYBROS,Youtube,Girl,Major,,,,,,,,,,2014
,2014-11-09,Lovelyz,Good Night Like Yesterday,어제처럼 굿나잇,Digipedi,Youtube,Girl,Minor,,,,,,,,,,2014
,2014-11-16,Lovelyz,Candy Jelly Love,캔디 젤리 러브,Digipedi,Youtube,Girl,Major,,,,,,,,,,2014
Post,2014-02-02,B.A.P,1004(Angel),1004(천사),ZANYBROS,Youtube,Boy,Major,,,,,,,,,,2014
,2014-06-02,B.A.P,Where Are You?,어디니? 뭐하니?,ZANYBROS,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-08-27,LABOUM,Pit-a-pat,두근두근,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-10-30,LABOUM,What About You,어떡할래,,Youtube,Girl,Major,,,,,,,,,,2014
Post,2014-01-12,B1A4,Lonely,없구나,Tiger Cave,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-13,B1A4,Solo Day,솔로데이,Sunny Visual,Youtube,Boy,Major,,,,,,,,,,2014
Post,2014-05-26,VIXX,ETERNITY,기적,ZANYBROS,Youtube,Boy,Major,,,,,,,,,,2014
Post,2014-10-13,VIXX,Error,에러,ZANYBROS,Youtube,Boy,Major,,,,,,,,,,2014
,2014-02-27,BESTie,Thank U Very Much,땡큐 베리 머치,ZANYBROS,Youtube,Girl,Major,,,,,,,,,,2014
,2014-07-10,BESTie,Like a Star,별처럼,,Youtube,Girl,Minor,,,,,,,,,,2014
,2014-07-27,BESTie,Hot Baby,핫 베이비,,Youtube,Girl,Major,,,,,,,,,,2014
Post,2014-12-28,Sonamoo,Deja vu,데자뷰,ZANYBROS,Youtube,Girl,Major,,,,,,,,,,2014
,2014-02-25,Girls' Generation,Mr.Mr,미스터미스터,Kim Beomchul,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-11,WINNER,empty,공허해,Seo Hyunseung,Youtube,Boy,Major,,,,,,,,,,2014
,2014-08-11,WINNER,Color Ring,컬러링,Dee Shin,Youtube,Boy,Major,,,,,,,,,,2014
,2014-08-30,WINNER,I'm Him (Mino Solo),걔 세,FantazyLab,Youtube,Boy,Major,,,,,,,,,,2014
,2014-08-03,Red Velvet,Happiness,행복,Woogie Kim,Youtube,Girl,Major,,,,,,,,,,2014
,2014-10-09,Red Velvet,Be Natural,비내츄럴,Kwon Soonwook,Youtube,Girl,Major,,,,,,,,,,2014
,2014-01-07,Dal Shabet,B.B.B,비비비,Dari Cho (FPK),Youtube,Girl,Major,,,,,,,,,,2014
,2014-06-11,Tahiti,Oppa You're Mine,오빤내꺼,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-04-07,AKMU,200%,이백퍼센트,,Youtube,Co-ed,Major,,,,,,,,,,2014
,2014-05-01,AKMU,Give Love,기브 러브,,Youtube,Co-ed,Major,,,,,,,,,,2014
,2014-04-14,AKMU,Melted,얼음들,Dee Shin,Youtube,Co-ed,Major,,,,,,,,,,2014
,2014-02-11,Stellar,Marionette,마리오네트,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-20,Stellar,Mask,마스크,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-09-14,Teen Top,Missing,쉽지않아,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-11-09,Teen Top,I'm Sorry,우린 문제 없어,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-05-06,EXO,Overdose,중독,ZANYBROS,Youtube,Boy,Major,,,,,,,,,,2014
,2014-09-18,Minx,Why Did You Come To My Home?,우리 집에 왜 왔니?,August Frogs,Youtube,Girl,Major,,,,,,,,,,2014
,2014-11-05,Hello Venus,Sticky Sticky,끈적끈적,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-17,KARA,Mamma Mia,맘마미아,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-07-02,f(x),Red Light,레드 라이트,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-10,SECRET,I'm In Love,아임 인 러브,ZANYBROS,Youtube,Girl,Major,,,,,,,,,,2014
,2014-05-11,Jun Hyoseong,Good-night Kiss,굿나잇 키스,ZANYBROS,Youtube,Girl Solo,Major,,,,,,,,,,2014
,2014-07-03,Song Jieun,False Hope,희망고문,ZANYBROS,Youtube,Girl Solo,Major,,,,,,,,,,2014
,2014-09-23,Song Jieun,Don't Look at me Like That,쳐다보지마,ZANYBROS,Youtube,Girl Solo,Minor,,,,,,,,,,2014
,2014-10-13,Song Jieun,Twenty-Five,예쁜 나이 25살,ZANYBROS,Youtube,Girl Solo,Major,,,,,,,,,,2014
,2014-08-15,Taemin,Danger,괴도,Woogie Kim,Youtube,Boy Solo,Major,,,,,,,,,,2014
,2014-04-14,Block B,Jackpot,잭팟,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-23,Block B,HER,헐,Tiger Cave,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-26,CROSS GENE,Shooting Star,슈팅스타,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-07-08,CROSS GENE,Amazing - Bad Lady -,어메이징 배드 레이디,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-10,CROSS GENE,BILLION DOLLA,빌리언달러,Teppei Nakamura,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-11-09,CROSS GENE,"I'm Not a Boy, Not Yet a Man",어려도 남자야,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-06-09,Beast,No More,이젠 아니야,Tiger Cave,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-06-15,Beast,Good Luck,굿 럭,Tiger Cave,Youtube,Boy,Major,,,,,,,,,,2014
,2014-10-19,Beast,12:30,12시 30분,Tiger Cave,Youtube,Boy,Major,,,,,,,,,,2014
,2014-10-10,T-ara,Number Nine,넘버나인,ZANYBROS,Youtube,Girl,Major,,,,,,,,,,2014
,2014-10-10,T-ara,Because I Know,느낌아니까,ZANYBROS,Youtube,Girl,Minor,,,,,,,,,,2014
,2014-09-11,T-ara,SUGAR FREE,슈가프리,ZANYBROS,Youtube,Girl,Major,,,,,,,,,,2014
,2014-05-20,Infinite,Last Romeo,라스트 로미오,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-20,Infinite,Back,백,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-11-30,Infinite F,Heartthrob,가슴이 뛴다,Dari Cho (FPK),Youtube,Boy,Major,,,,,,,,,,2014
,2014-06-22,HISTORY,Psycho,싸이코,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-03-16,100%,Beat,심장이 뛴다,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-04-27,100%,Phone,전화,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-07-07,100%,U Beauty,니가 예쁘다,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-08-28,100%,Summer Hero,썸머 히어로,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-01-14,GOT7,Girls Girls Girls,걸스걸스걸스,Naive,Youtube,Boy,Major,,,,,,,,,,2014
,2014-06-22,GOT7,A,에이,Naive,Youtube,Boy,Major,,,,,,,,,,2014
,2014-11-16,GOT7,Stop Stop It,하지하지마,Naive,Youtube,Boy,Major,,,,,,,,,,2014
,2014-02-16,BtoB,Beep Beep,뛰뛰빵빵,ZANYBROS,Youtube,Boy,Major,,,,,,,,,,2014
,2014-09-28,BtoB,You're So Fly,넌 감동이야,ZANYBROS,Youtube,Boy,Major,,,,,,,,,,2014
,2014-12-04,BtoB,You Can Cry,울어도 돼,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-12-21,BtoB,The Winter's Tale,울면 안 돼,,Youtube,Boy,Major,,,,,,,,,,2014
Post,2014-06-17,Mamamoo,Mr. Ambiguous,Mr. 애매모호,Min Oh,Youtube,Girl,Major,,,,,,,,,,2014
Post,2014-11-20,Mamamoo,Piano Man,피아노 맨,Kwon Soonwook,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-26,EXID,Up&Down,위아래,Digipedi,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-28,Super Junior,Mamacita,마마시타 (아야야),,Youtube,Boy,Major,,,,,,,,,,2014
,2014-10-22,Super Junior,This Is Love,디스이즈러브,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-10-27,Super Junior,Evanesce,백일몽,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-05-25,15&,Sugar,슈가,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-25,4Ten,Tornado,토네이도,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-10-26,2AM,Days Like Today,오늘따라,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-10-29,2AM,Over The Destiny,나타나 주라,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-03-02,2NE1,Happy,해피,Han Samin,Youtube,Girl,Major,,,,,,,,,,2014
,2014-03-02,2NE1,Come Back Home,컴백홈,Dee Shin,Youtube,Girl,Major,,,,,,,,,,2014
,2014-05-20,2NE1,Gotta Be You,너 아님 안,Han Samin,Youtube,Girl,Major,,,,,,,,,,2014
,2014-06-25,2NE1,Crush,,Seo Hyunseung,Youtube,Girl,Japanese,,,,,,,,,,2014
,2014-09-09,2PM,Go Crazy!,미친거 아니야?,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-03-16,4Minute,Whatcha Doin' Today?,오늘 뭐해,ZANYBROS,Youtube,Girl,Major,,,,,,,,,,2014
,2014-04-11,2000won,I Hate Seoul,서울이 싫어졌어,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-12-03,A-Daily,If You Don't Tell Me,말을 해야 알지,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-11,B.A.P,Excuse Me,익스큐즈미,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-07-08,B.I.G,Hello,안녕하세요,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-10-20,B.I.G,Are You Ready?,준비됐나요,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-11-17,5URPRISE,From My Heart,프롬 마이 하트,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-08-01,4L,Move,무브,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-03-02,1PS,Because I'm your girl,여자이니까,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-02-19,AlphaBAT,Always,올웨이즈,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-02-24,AlphaBAT,Tantara,딴따라,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-08-21,AlphaBAT,Oh My Gosh!,답정너,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-10-15,AlphaBAT,#A-Ya,#아야,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-07-14,A.KOR,Payday,페이데이,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-09-04,A.KOR,But Go,벗 고,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-10-28,A.cian,Ouch,아우치,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-01-14,A-PRINCE,Yes or No,예스 오어 노,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-01-25,A-PRINCE,Love Snow,사랑눈,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-03-27,A-PRINCE,Kiss Scene,키스할래요,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-02,A-JAX,Vampire Flower,뱀파이어의 꽃,,Youtube,Boy,OST,,,,,,,,,,2014
,2014-04-04,AliceWhite,Baby Like That,빙빙빙,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-05-20,Beast,Adrenaline,아드레날린,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-10-23,Beast,How are you?,キミはどう？,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-01-05,BEATWIN,She's My Girl,갖고싶니,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-09-26,BEATWIN,Illusion,일루션,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-05-21,Berry Good,Love Letter,러브레터,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-08-19,Big Byung,Stress Come On,스트레스 컴온!,,Youtube,Boy,Special,,,,,,,,,,2014
,2014-11-20,GD X TAEYANG,Good Boy,굿보이,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-06-22,BIGFLO,Delilah,딜라일라,ZANYBROS,Youtube,Boy,Major,,,,,,,,,,2014
,2014-11-24,BIGFLO,BAD MAMA JAMA,배드마마자마,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-04-01,Billionaire,That Night,그날밤에,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-23,Blast,Git It Girl,기릿걸,,Youtube,Boy,,,,,,,,,,,2014
,2014-06-09,Bob Girls,No Way,노웨이,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-05-14,BTL,Too-G,투지,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-02-19,Boys Republic,Video Game,비디오게임,Digipedi,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-21,Boys Republic,Dress Up,예쁘게 입고 나와,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-11-11,Boys Republic,The Real One,진짜가 나타났다,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-11-02,Boyfriend,White Out,화이트 아웃,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-10-12,Boyfriend,Witch,위치,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-21,Boyfriend,Here!,,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-06-10,Boyfriend,Alarm,알람,,Youtube,Boy,Minor,,,,,,,,,,2014
,2014-06-04,Boyfriend,Obsession,너란 여자,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-05-26,Boyfriend,Startup!,スタートアップ！,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-03-24,Boyfriend,My Avatar,,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-02-12,C-Clown,Justice,암행어사,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-07-07,C-Clown,Let's Love,나랑만나,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-03-31,Crayon Pop,Uh-ee,어이,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-07-13,Crayon Pop,Hey Mister,헤이 미스터,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-02-23,CNBLUE,Can't Stop,캔트스톱,,Youtube,Boy,Major,,,,,,,,,,2014
,2014-04-04,CNBLUE,Truth,,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-04-15,CNBLUE,Still,,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-07-30,CNBLUE,Go Your Way,,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-08-27,CNBLUE,Radio,,,Youtube,Boy,Japanese,,,,,,,,,,2014
,2014-10-24,D.Holic,I Don’t Know,몰라요,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-10-24,D.Holic,Without You,,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-07-21,Delight,Hate You!,내가 없냐!,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-07-08,Evening,Always A Child,언제나 어린애,,Youtube,Co-ed,Major,,,,,,,,,,2014
,2014-07-01,Fiestar,One More,하나 더,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-01-14,Flashe,"Oh, Ye, Yo",오예요,,Youtube,Girl,Major,,,,,,,,,,2014
,2014-05-19,Flashe,Hey You,헤이 유,,Youtube,Girl,Major,,,,,,,,,,2014
